	Target	Molecule_ID	Activity	SMILES
0	B	0	1.8	CC(C)Oc1ccccc1N2CCN(Cc3cccc(c3)C(=O)N4CCCCC4)CC2
1	B	1	281.5	Oc1ccccc1OCCNCc2ccccc2
2	B	2	83.0	Oc1ccc2CCC3C(OCCN3CCc4cccs4)c2c1
3	B	3	27.8	CS(=O)(=O)Nc1cc(OCCNCc2cccs2)ccc1Cl
4	B	4	0.21	CCCN1CCOC2C1CCc3ccc(O)cc23
5	B	5	240.0	CCCN1CCOC2C1CCc3sccc23
6	B	6	117.0	CCCN(CCc1ccsc1)CCc2cccs2
7	B	7	40.0	CCCN(CCC)C1CCc2sccc2C1
8	B	8	28.0	CCCN(CCC)C1CCc2ccsc2C1
9	B	9	193.0	C(N1CCN(CC1)c2ccccc2)c3c[nH]c(n3)c4ccccc4
10	B	10	60.0	CCCN(CCC)CC1CCc2ccsc2C1
11	B	11	8700.0	C(N1CCC(CC1)n2cccc2C#Cc3ccccc3)c4ccccc4
12	B	12	247.0	CCCN(CCC)CC1CCc2sccc2C1
13	B	13	7000.0	N#CC(=Cc1ccn(c1)C2CCN(Cc3ccccc3)CC2)C#N
14	B	14	770.0	C(N1CCC(CC1)n2cccc2c3ocnc3)c4ccccc4
15	B	15	158.0	CCCN(CCC)C1CCc2nc(OC)ccc2C1
16	B	16	1.9	CCCN(CCC)C1CCc2nc(N)sc2C1
17	B	17	108.0	CCCN(CCc1ccsc1)CCc2ccsc2
18	B	18	4.97	CCCN(CCC)C1CCc2ncccc2C1
19	B	19	366.0	CCCN(CCC)C1CCc2cc(OC)ccc2C1
20	B	20	2600.0	Ic1cccn1C2CCN(Cc3ccccc3)CC2
21	B	21	72.7	Clc1cccc(c1)C(OC2CC3CCC(C2)N3CCCc4ccccc4)c5ccccc5
22	B	22	985.0	COc1ccccc1N2CCN(CC3CN=C4N3C(=O)Nc5ccccc45)CC2
23	B	23	249.0	CCCN1CCCC(C1)c2cccc(c2)C#N
24	B	24	6800.0	C(N1CCC(CC1)n2ccc(c2)c3ocnc3)c4ccccc4
25	B	25	5.01	Clc1cccc(c1)N2CCN(CCN3CCCCCC3)C2=O
26	B	26	125.89	Cc1ccc(cc1)N2CCN(CCN3CCCCCC3)C2=O
